ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0373121059,"To Tame A Proud Heart (9 To 5) (Harlequin Presents, 2105)",Cathy Williams,2000,Harlequin,http://images.amazon.com/images/P/0373121059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373121059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373121059.01.LZZZZZZZ.jpg
055326317X,Human Sexual Inadequacy,"William &amp; Johnson, Virginia Masters",1981,Bantam Books,http://images.amazon.com/images/P/055326317X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055326317X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055326317X.01.LZZZZZZZ.jpg
0553240021,Life with Jackie,Jean L. Block,1986,Bantam Books,http://images.amazon.com/images/P/0553240021.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553240021.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553240021.01.LZZZZZZZ.jpg
0060086386,Filthy Rich,Dorothy Samuels,2002,Avon Trade,http://images.amazon.com/images/P/0060086386.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060086386.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060086386.01.LZZZZZZZ.jpg
1567996035,Angels: Celestial Spirits in Art &amp; Legend,Jacqueline Carey,1997,MetroBooks (NY),http://images.amazon.com/images/P/1567996035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567996035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567996035.01.LZZZZZZZ.jpg
0312868146,Necroscope: Invaders,Brian Lumley,1999,St Martins Pr,http://images.amazon.com/images/P/0312868146.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312868146.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312868146.01.LZZZZZZZ.jpg
0446912816,Yoga for Physical Fitness,Richard Hittleman,1960,Warner Books (Mm),http://images.amazon.com/images/P/0446912816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446912816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446912816.01.LZZZZZZZ.jpg
8401376203,Antologia de las Mejores Poesias de AMOR En Lengua EspaÃ±ola,Luis Maria Anson,1998,Plaza &amp; JanÃ©s Editores,http://images.amazon.com/images/P/8401376203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8401376203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8401376203.01.LZZZZZZZ.jpg
0553527088,Silent Treatment,Michael Palmer,2000,Random House Audio Publishing Group,http://images.amazon.com/images/P/0553527088.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553527088.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553527088.01.LZZZZZZZ.jpg
0312285671,Mary Ellen's Guide to Good Enough Housekeeping,Mary Ellen Pinkham,2002,St. Martin's Griffin,http://images.amazon.com/images/P/0312285671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312285671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312285671.01.LZZZZZZZ.jpg
0764560956,"Frommer's 2001 California (Frommer's California, 2001)",Erikar Lenkert,2000,Frommer's,http://images.amazon.com/images/P/0764560956.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0764560956.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0764560956.01.LZZZZZZZ.jpg
1887166386,"Women's Lip: Outrageous, Irreverent and Just Plain Hilarious Quotes",Rosalind Warren,1998,Hysteria Publications,http://images.amazon.com/images/P/1887166386.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1887166386.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1887166386.01.LZZZZZZZ.jpg
0679409920,The Human Factor (Everyman's Library),GRAHAM GREENE,1992,Everyman's Library,http://images.amazon.com/images/P/0679409920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679409920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679409920.01.LZZZZZZZ.jpg
1887374116,"The Contemporary Craft of Paper Mache: Techniques, Projects, Inspirations",Helga Muller,1996,Sterling Pub Co Inc,http://images.amazon.com/images/P/1887374116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1887374116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1887374116.01.LZZZZZZZ.jpg
1570825181,Disney's Hercules: Classic Storybook (The Mouse Works Classics Collection),Lisa Ann Marsoli,1997,Random House Childrens Pub,http://images.amazon.com/images/P/1570825181.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1570825181.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1570825181.01.LZZZZZZZ.jpg
0736906606,To Rome With Love (Seven Sisters Series Book 4),Debra White Smith,2001,Harvest House Publishers,http://images.amazon.com/images/P/0736906606.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0736906606.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0736906606.01.LZZZZZZZ.jpg
0716723476,Smoking: The Artificial Passion,David Krough,1992,W.H. Freeman &amp; Company,http://images.amazon.com/images/P/0716723476.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0716723476.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0716723476.01.LZZZZZZZ.jpg
0884490459,Preparing for Adolescence: Caution Changes Ahead,Dr. James Dobson,1989,Gospel Light Publications,http://images.amazon.com/images/P/0884490459.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0884490459.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0884490459.01.LZZZZZZZ.jpg
0061093920,Render Up the Body : A Novel of Suspense,Marianne Wesson,1998,HarperTorch,http://images.amazon.com/images/P/0061093920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061093920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061093920.01.LZZZZZZZ.jpg
0140350799,The Second Jungle Book (Puffin Classic),Rudyard Kipling,1987,Puffin Books,http://images.amazon.com/images/P/0140350799.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140350799.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140350799.01.LZZZZZZZ.jpg
1575849399,Disney Princess Movie Theater,Rita Balducci,2002,Reader's Digest,http://images.amazon.com/images/P/1575849399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575849399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575849399.01.LZZZZZZZ.jpg
0373258291,"It Takes A Hero  (Bachelor Auction) (Harlequin Temptation, 729)",Gina Wilkins,1999,Harlequin,http://images.amazon.com/images/P/0373258291.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373258291.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373258291.01.LZZZZZZZ.jpg
3596152364,Inge Und Mira,Marianne Fredriksson,2002,Distribooks,http://images.amazon.com/images/P/3596152364.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3596152364.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3596152364.01.LZZZZZZZ.jpg
044021906X,Staying Fat for Sarah Byrnes,Chris Crutcher,1995,Laurel Leaf Library,http://images.amazon.com/images/P/044021906X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044021906X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044021906X.01.LZZZZZZZ.jpg
0781403588,Peace Like a River (California Pioneer Series),Elaine Schulte,1993,Cook Communications Ministries intl,http://images.amazon.com/images/P/0781403588.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0781403588.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0781403588.01.LZZZZZZZ.jpg
0373057741,"Tennessee Waltz (Silhouette Desire, No 5774)",Jackie Merritt,1993,Silhouette,http://images.amazon.com/images/P/0373057741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373057741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373057741.01.LZZZZZZZ.jpg
9170210667,"\Man var en stÃ¤ndig agitator.\"": [Anders Lehto, smÃ¥brukare i Tornedalen, samtaler med PÃ¤r Rittsel.] (Samtal)""",Anders Lehto,1974,Seelig],http://images.amazon.com/images/P/9170210667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9170210667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9170210667.01.LZZZZZZZ.jpg
0312401612,A Writer's Reference: With 2001 Apa Guidelines (Writer's Reference),Diana Hacker,2002,Bedford Books,http://images.amazon.com/images/P/0312401612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312401612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312401612.01.LZZZZZZZ.jpg
0345457005,Dirty Laundry: A Charlotte Justice Novel (Charlotte Justice Novels),Paula L. Woods,2003,Ballantine Books,http://images.amazon.com/images/P/0345457005.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345457005.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345457005.01.LZZZZZZZ.jpg
8476405561,Los que acechan en el abismo,H. P. Lovecraft,2001,Edaf,http://images.amazon.com/images/P/8476405561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8476405561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8476405561.01.LZZZZZZZ.jpg
1562058053,Windows Nt Server 4: Professional Reference,"Karanjit S., Ph.D. Siyan",1997,New Riders Publishing,http://images.amazon.com/images/P/1562058053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1562058053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1562058053.01.LZZZZZZZ.jpg
0563487771,When Will I Be Famous: Travels Through the Dark Side of Show Business,Martin Kelner,2003,BBC,http://images.amazon.com/images/P/0563487771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0563487771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0563487771.01.LZZZZZZZ.jpg
0146001923,Mina Laury (Penguin Classics 60s),Charlotte Bronte,1995,Penguin,http://images.amazon.com/images/P/0146001923.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0146001923.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0146001923.01.LZZZZZZZ.jpg
0886777232,Future Net,Martin H. Greenberg,1996,Daw Books,http://images.amazon.com/images/P/0886777232.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0886777232.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0886777232.01.LZZZZZZZ.jpg
0800758307,Postmarked Heaven,Jack Cavanaugh,2002,Revell,http://images.amazon.com/images/P/0800758307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0800758307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0800758307.01.LZZZZZZZ.jpg
0866228411,Breeding Cockatiels,Julie Sturman,1980,Thomasson Grant &amp; Howell,http://images.amazon.com/images/P/0866228411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0866228411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0866228411.01.LZZZZZZZ.jpg
0394506510,Women as mothers,Sheila Kitzinger,1978,Random House,http://images.amazon.com/images/P/0394506510.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394506510.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394506510.01.LZZZZZZZ.jpg
0821754297,The Duke Who Came to Visit (Zebra Regency Romance),Carol Quinto,1996,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821754297.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821754297.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821754297.01.LZZZZZZZ.jpg
0756400376,"The Valdemar Companion: A Guide to Mercedes Lackey's World of Valdemar (Daw Book Collectors, No. 1205)",John Helfers,2001,Daw Books,http://images.amazon.com/images/P/0756400376.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0756400376.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0756400376.01.LZZZZZZZ.jpg
0713990619,The Fabric of Reality: The Science of Parallel Universes- And Its Implications (Allen Lane Science S.),David Deutsch,1997,Penguin USA,http://images.amazon.com/images/P/0713990619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0713990619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0713990619.01.LZZZZZZZ.jpg
0679807438,"Car (Eyewitness Book, No 21)",Richard Sutton,1990,Alfred A. Knopf,http://images.amazon.com/images/P/0679807438.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679807438.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679807438.01.LZZZZZZZ.jpg
0140509453,Arnie and the New Kid (Picture Puffins),Nancy L. Carlson,1992,Puffin Books,http://images.amazon.com/images/P/0140509453.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140509453.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140509453.01.LZZZZZZZ.jpg
067163951X,GREAT ALONE,Janet Dailey,1987,Pocket,http://images.amazon.com/images/P/067163951X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067163951X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067163951X.01.LZZZZZZZ.jpg
0312050631,Confessions of a Failed Southern Lady,Florence King,1990,St. Martin's Press,http://images.amazon.com/images/P/0312050631.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312050631.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312050631.01.LZZZZZZZ.jpg
0061065889,New Adventures of Mary-Kate &amp; Ashley #15: The Case of the Slam Dunk Mystery : The Case Of The Slam Dunk Mystery (New Adventures of Mary-Kate &amp; Ashley),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,http://images.amazon.com/images/P/0061065889.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061065889.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061065889.01.LZZZZZZZ.jpg
0385111614,How to Teach Your Baby to Read,Glenn Doman,1975,Bantam Doubleday Dell,http://images.amazon.com/images/P/0385111614.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385111614.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385111614.01.LZZZZZZZ.jpg
0316366447,One of Each,Mary Ann Hoberman,2000,Megan Tingley,http://images.amazon.com/images/P/0316366447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316366447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316366447.01.LZZZZZZZ.jpg
1587670674,The Crossings,Jack Ketchum,2003,Cemetery Dance Publications,http://images.amazon.com/images/P/1587670674.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1587670674.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1587670674.01.LZZZZZZZ.jpg
0765302683,Coyote Cowgirl,Kim Antieau,2004,Forge Books,http://images.amazon.com/images/P/0765302683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765302683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765302683.01.LZZZZZZZ.jpg
0312969279,Lack of the Irish : A Mystery Set at the University of Notre Dame (A Mystery Set at the Univ. of Notre Dame),Ralph McInerny,1999,St. Martin's Dead Letter,http://images.amazon.com/images/P/0312969279.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312969279.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312969279.01.LZZZZZZZ.jpg
0373289731,"The Bride Thief (Harlequin Historical, 373)",Susan Spencer Paul,1997,Harlequin,http://images.amazon.com/images/P/0373289731.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373289731.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373289731.01.LZZZZZZZ.jpg
0888502052,The Reader's Digest Illustrated Book of Dogs,Readers Digest,1994,Reader's Digest Association,http://images.amazon.com/images/P/0888502052.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0888502052.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0888502052.01.LZZZZZZZ.jpg
0312975767,Don't Close Your Eyes,Carlene Thompson,2000,St. Martin's Press,http://images.amazon.com/images/P/0312975767.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312975767.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312975767.01.LZZZZZZZ.jpg
3293201474,Die Frauen von Algier.,Assia Djebar,1999,Unionsverlag,http://images.amazon.com/images/P/3293201474.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3293201474.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3293201474.01.LZZZZZZZ.jpg
0895862530,Sewing: The Complete Guide,Hp Books Editors,1983,Berkley Pub Group,http://images.amazon.com/images/P/0895862530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0895862530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0895862530.01.LZZZZZZZ.jpg
0375760504,Life After Death,Carol Muske-Dukes,2002,Random House Trade,http://images.amazon.com/images/P/0375760504.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375760504.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375760504.01.LZZZZZZZ.jpg
0571198309,What Is Told,Askold Melnyczuk,1994,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0571198309.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0571198309.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0571198309.01.LZZZZZZZ.jpg
0945575092,Virtuous Woman,Kaye Gibbons,1989,Algonquin Books Of Chapel Hill,http://images.amazon.com/images/P/0945575092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0945575092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0945575092.01.LZZZZZZZ.jpg
340414404X,"Wie man eine Zigarre raucht, ohne sich die Finger zu verbrennen.",Jane Green,2000,LÃ?Â¼bbe,http://images.amazon.com/images/P/340414404X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/340414404X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/340414404X.01.LZZZZZZZ.jpg
8440666926,Sin Limite,Santiago Belloch,1997,Ediciones B,http://images.amazon.com/images/P/8440666926.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8440666926.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8440666926.01.LZZZZZZZ.jpg
0553251023,Tether's End (Pbs-Tie in),Margery Allingham,1990,Bantam Books,http://images.amazon.com/images/P/0553251023.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553251023.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553251023.01.LZZZZZZZ.jpg
0340358491,Warday and the Journey Onward,Whitley Strieber,1984,Hodder Headline Australia,http://images.amazon.com/images/P/0340358491.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340358491.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340358491.01.LZZZZZZZ.jpg
009945520X,How to Make Square Eggs,Paul Temple,1986,Random House Children's Books (A Division of Random House Group),http://images.amazon.com/images/P/009945520X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/009945520X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/009945520X.01.LZZZZZZZ.jpg
0743470079,Windfalls : A Novel,Jean Hegland,2004,Atria,http://images.amazon.com/images/P/0743470079.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743470079.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743470079.01.LZZZZZZZ.jpg
0394557433,Gift From The Sea,Anne Morrow Lindbergh,1986,Pantheon Books,http://images.amazon.com/images/P/0394557433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394557433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394557433.01.LZZZZZZZ.jpg
3548600107,Der indische Baum.,Helga Glaesener,2000,Ullstein TB-Vlg,http://images.amazon.com/images/P/3548600107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3548600107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3548600107.01.LZZZZZZZ.jpg
042518871X,The Great American Handbook: What You Can Do for Your Country-Today and Everyday,Cheri Sicard,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518871X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518871X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518871X.01.LZZZZZZZ.jpg
0505525186,Dr. Yes,Lisa Cach,2003,Love Spell,http://images.amazon.com/images/P/0505525186.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0505525186.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0505525186.01.LZZZZZZZ.jpg
0671683276,GETTING UP WHEN YOU'RE FEELING DOWN,Harriet B. Braiker,1990,Pocket,http://images.amazon.com/images/P/0671683276.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671683276.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671683276.01.LZZZZZZZ.jpg
0140019995,Sirius: A fantasy of love and discord,Olaf Stapledon,1972,Penguin,http://images.amazon.com/images/P/0140019995.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140019995.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140019995.01.LZZZZZZZ.jpg
0449221008,The Tiger's Daughter,Bharati Mukherjee,1992,Fawcett Books,http://images.amazon.com/images/P/0449221008.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449221008.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449221008.01.LZZZZZZZ.jpg
1551667304,Undressed,Stef Ann Holm,2003,Mira,http://images.amazon.com/images/P/1551667304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551667304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551667304.01.LZZZZZZZ.jpg
0515129712,On Thin Ice,Lynn Erickson,2000,Jove Books,http://images.amazon.com/images/P/0515129712.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515129712.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515129712.01.LZZZZZZZ.jpg
0806918756,Donna Dewberry's One Stroke Painting Course,Donna S. Dewberry,0,Sterling Publishing,http://images.amazon.com/images/P/0806918756.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806918756.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806918756.01.LZZZZZZZ.jpg
0921586949,Heart of the Community: The Best of the Carnegie Newsletter,Paul R. Taylor,2003,New Star Books,http://images.amazon.com/images/P/0921586949.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0921586949.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0921586949.01.LZZZZZZZ.jpg
0553053515,The Widow of Desire,Justin Scott,1989,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553053515.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553053515.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553053515.01.LZZZZZZZ.jpg
0764550373,Cats for Dummies,Gina Spadafori,1997,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/0764550373.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0764550373.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0764550373.01.LZZZZZZZ.jpg
843202144X,PequeÃ±o teatro (Popular Planeta ; 35),Ana MarÃ­a Matute,1976,Planeta,http://images.amazon.com/images/P/843202144X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/843202144X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/843202144X.01.LZZZZZZZ.jpg
0873585763,Goose and the Mountain Lion,Marian Harris,1994,Northland Pub,http://images.amazon.com/images/P/0873585763.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0873585763.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0873585763.01.LZZZZZZZ.jpg
0373084625,Lady Of The West (Silhouette Romance No. 462),Jennifer Mikels,1986,Silhouette,http://images.amazon.com/images/P/0373084625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373084625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373084625.01.LZZZZZZZ.jpg
0690007310,Kelly's creek,Doris Buchanan Smith,1975,Crowell,http://images.amazon.com/images/P/0690007310.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0690007310.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0690007310.01.LZZZZZZZ.jpg
0706415493,More Horse and Pony Stories,Janet Sachs,1981,Smithmark Publishing,http://images.amazon.com/images/P/0706415493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0706415493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0706415493.01.LZZZZZZZ.jpg
0446310492,To Kill a Mockingbird,Harper Lee,1985,Warner Books,http://images.amazon.com/images/P/0446310492.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310492.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310492.01.LZZZZZZZ.jpg
